ITEM: TIMESTEP
3200
ITEM: NUMBER OF ATOMS
2220
ITEM: BOX BOUNDS xy xz yz pp pp pp
0 0.00039065 3.005e-05
0 0.0009015 0
0 9.015e-05 0
ITEM: ATOMS x y z vx vy vy c_rho_peratom id type 
8.75844e-05 1.21227e-05 8.09675e-07 0.000602834 2.03522e-06 2.03522e-06 1236.52 1 1 
0.000365726 0.000893821 7.91366e-05 0.0447018 -6.49637e-06 -6.49637e-06 1221.64 2 1 
0.000138265 1.13909e-05 6.94148e-06 0.000578306 5.39624e-06 5.39624e-06 1205.71 3 1 
4.38482e-05 0.000887667 1.19301e-06 0.0443726 5.45082e-06 5.45082e-06 1225.5 4 1 
0.000282491 0.000887001 8.68774e-05 0.044334 9.15175e-06 9.15175e-06 1240.53 5 1 
0.000224776 2.19841e-05 8.20939e-05 0.00110217 3.93551e-06 3.93551e-06 1228.13 6 1 
9.67338e-05 0.000896167 8.11701e-06 0.0447977 4.39181e-06 4.39181e-06 1226.17 7 1 
0.000256437 1.05745e-05 8.34929e-05 0.00052525 4.92313e-06 4.92313e-06 1244.78 8 1 
0.000299087 1.16037e-05 2.26536e-06 0.000582694 4.35476e-06 4.35476e-06 1189.21 9 1 
0.000300871 2.62324e-05 8.1936e-05 0.0013345 -3.68777e-06 -3.68777e-06 1172.26 10 1 
0.000333387 1.46688e-05 5.0093e-06 0.000732439 -4.96508e-06 -4.96508e-06 1173.51 11 1 
1.18972e-05 1.58543e-05 5.8004e-06 0.000799551 -3.80367e-06 -3.80367e-06 1165.45 12 1 
0.000254963 0.000893624 3.29192e-06 0.0446762 -2.04857e-06 -2.04857e-06 1190.45 13 1 
4.8423e-05 5.6099e-06 6.31764e-06 0.000270294 7.0841e-06 7.0841e-06 1221.44 14 1 
0.000182829 0.000897727 1.65301e-05 0.0448919 -3.25116e-06 -3.25116e-06 1187.03 15 1 
7.86972e-05 3.93183e-05 8.44698e-05 0.00196043 -4.41002e-06 -4.41002e-06 1210.95 16 1 
0.000114142 3.62649e-05 8.6295e-06 0.00182956 2.55006e-06 2.55006e-06 1205.95 17 1 
0.000128698 3.15082e-05 4.52554e-06 0.00157996 -5.25364e-06 -5.25364e-06 1195.18 18 1 
0.000157052 5.50837e-05 8.73163e-05 0.00275687 -4.90692e-06 -4.90692e-06 1217.4 19 1 
0.000175463 3.19875e-05 1.69136e-05 0.00159635 2.15713e-06 2.15713e-06 1186.36 20 1 
0.000198077 3.73629e-05 1.51656e-06 0.00187488 5.38711e-06 5.38711e-06 1205.65 21 1 
0.000217674 2.88876e-05 5.75182e-06 0.00144824 1.94515e-05 1.94515e-05 1212.44 22 1 
