ITEM: TIMESTEP
4400
ITEM: NUMBER OF ATOMS
2220
ITEM: BOX BOUNDS xy xz yz pp pp pp
-4.88313e-05 0.0003606 -4.88313e-05
0 0.0009015 0
0 9.015e-05 0
ITEM: ATOMS x y z vx vy vy c_rho_peratom id type 
0.000111347 1.16898e-05 8.89201e-05 0.000579532 1.0217e-06 1.0217e-06 1256 1 1 
0.000180835 0.000893591 7.76653e-05 0.0446771 2.62432e-07 2.62432e-07 1167.07 2 1 
0.000165545 1.37152e-05 9.09215e-07 0.000684082 2.24608e-07 2.24608e-07 1199.54 3 1 
0.000223217 0.000891084 8.89164e-05 0.0445547 -2.04292e-07 -2.04292e-07 1178.22 4 1 
9.56378e-05 0.000883099 8.88417e-05 0.0441524 2.65955e-07 2.65955e-07 1219.67 5 1 
0.000243083 1.54745e-05 8.25797e-05 0.00077739 -6.55441e-07 -6.55441e-07 1172.37 6 1 
0.000277086 0.000889589 7.53317e-06 0.0444799 3.48992e-08 3.48992e-08 1239.42 7 1 
0.000287028 7.42122e-06 7.94289e-05 0.000364244 1.43354e-06 1.43354e-06 1157.35 8 1 
0.000331016 9.93738e-06 3.34585e-06 0.000500854 -7.96955e-07 -7.96955e-07 1221.65 9 1 
0.000333194 3.14728e-05 7.63016e-05 0.00157807 -8.90091e-07 -8.90091e-07 1205.35 10 1 
6.93011e-06 1.27954e-05 6.25464e-06 0.000643612 -6.17558e-07 -6.17558e-07 1175.28 11 1 
4.08397e-05 1.21007e-05 9.01479e-05 0.000601949 8.51953e-07 8.51953e-07 1191.26 12 1 
6.81927e-05 0.000887969 3.39782e-06 0.0443985 -1.63317e-07 -1.63317e-07 1241.8 13 1 
7.38226e-05 1.00687e-05 9.33463e-06 0.00050501 -2.99212e-07 -2.99212e-07 1208.42 14 1 
-9.92025e-06 0.000897722 2.24995e-05 0.0448855 -4.94535e-08 -4.94535e-08 1171.38 15 1 
0.000110717 4.29326e-05 8.84805e-05 0.00214986 -4.24132e-07 -4.24132e-07 1206.66 16 1 
0.000147646 4.17873e-05 7.66349e-06 0.00208505 5.73195e-07 5.73195e-07 1231.06 17 1 
0.000161774 3.18132e-05 5.12514e-06 0.00159217 -3.25367e-07 -3.25367e-07 1223.39 18 1 
0.000196519 5.70903e-05 2.16657e-07 0.00285656 -2.98186e-07 -2.98186e-07 1218.2 19 1 
0.000203767 3.35728e-05 2.11341e-05 0.00167684 2.16101e-07 2.16101e-07 1207.25 20 1 
0.000228547 4.10822e-05 4.36367e-06 0.00205616 -3.90415e-07 -3.90415e-07 1207.14 21 1 
0.000242951 2.65197e-05 1.66144e-06 0.00132578 1.41638e-07 1.41638e-07 1193.93 22 1 
0.000280361 3.10499e-05 3.57283e-07 0.00154961 5.14539e-07 5.14539e-07 1185.73 23 1 
0.00031544 4.63247e-05 1.45205e-05 0.00231058 1.24375e-06 1.24375e-06 1203.28 24 1 
