ITEM: TIMESTEP
3900
ITEM: NUMBER OF ATOMS
2220
ITEM: BOX BOUNDS xy xz yz pp pp pp
-0.000166214 0.0003606 -0.000166214
0 0.0009015 0
0 9.015e-05 0
ITEM: ATOMS x y z vx vy vy c_rho_peratom id type 
9.89422e-05 7.88378e-06 8.74422e-05 0.000392209 5.23172e-07 5.23172e-07 1203.06 1 1 
-4.34035e-05 0.000894011 7.63158e-05 0.0446975 2.94762e-06 2.94762e-06 1204.37 2 1 
0.000154142 1.22787e-05 7.91516e-07 0.000610134 1.36909e-06 1.36909e-06 1167.63 3 1 
-4.06215e-06 0.000887342 1.21062e-06 0.0443612 3.76764e-06 3.76764e-06 1206.69 4 1 
-0.000129476 0.00088536 8.88421e-05 0.0442717 -1.33862e-06 -1.33862e-06 1240.44 5 1 
0.000233444 1.84297e-05 8.3087e-05 0.000923145 -5.64792e-07 -5.64792e-07 1215.73 6 1 
5.20942e-05 0.000892646 6.3684e-06 0.0446249 3.85975e-06 3.85975e-06 1190.99 7 1 
0.000273953 8.54712e-06 7.98275e-05 0.00042485 1.10407e-06 1.10407e-06 1194.05 8 1 
0.000319981 9.7823e-06 1.26215e-06 0.000488042 -1.10753e-07 -1.10753e-07 1216.2 9 1 
0.000320342 2.78053e-05 8.01727e-05 0.00139408 -1.89088e-06 -1.89088e-06 1203.25 10 1 
0.000353973 1.51847e-05 5.82997e-06 0.000758033 4.41248e-07 4.41248e-07 1198.32 11 1 
3.30599e-05 1.58329e-05 4.92516e-06 0.000795847 -1.55039e-06 -1.55039e-06 1198.58 12 1 
-0.000156389 0.000889782 1.47281e-06 0.0444844 2.73481e-06 2.73481e-06 1184.22 13 1 
6.20425e-05 6.77639e-06 7.64151e-06 0.000337426 8.6077e-07 8.6077e-07 1240.11 14 1 
0.00012929 0.000899821 2.01373e-05 0.0449941 -3.47988e-08 -3.47988e-08 1222.43 15 1 
9.83124e-05 4.22694e-05 8.47472e-05 0.00211756 -1.54343e-06 -1.54343e-06 1204.46 16 1 
0.000131897 3.80345e-05 8.70709e-06 0.00190188 -3.89707e-07 -3.89707e-07 1193.24 17 1 
0.000147751 3.03343e-05 6.44867e-06 0.00151908 -5.35492e-07 -5.35492e-07 1160.33 18 1 
0.00018004 5.4739e-05 8.92937e-05 0.00272929 3.85223e-06 3.85223e-06 1195.22 19 1 
0.000189815 3.30712e-05 2.04772e-05 0.00165306 -7.47438e-07 -7.47438e-07 1214.67 20 1 
0.000214861 4.00715e-05 5.37539e-06 0.00200437 -3.17597e-08 -3.17597e-08 1215.95 21 1 
0.000232636 2.67435e-05 4.70234e-06 0.00133602 -2.43398e-07 -2.43398e-07 1246.19 22 1 
0.000268671 2.98291e-05 8.83922e-05 0.00149149 -2.00889e-07 -2.00889e-07 1209.54 23 1 
0.000305452 4.8972e-05 1.48185e-05 0.00244893 -6.83774e-07 -6.83774e-07 1205.41 24 1 
0.000315963 4.73285e-05 7.94407e-05 0.00236723 -2.48898e-07 -2.48898e-07 1193.05 25 1 
0.000340448 3.44714e-05 2.50703e-06 0.00171791 2.33183e-06 2.33183e-06 1201.01 26 1 
-1.84301e-06 3.3379e-05 1.71746e-05 0.00166448 1.38043e-06 1.38043e-06 1188.16 27 1 
2.65719e-05 3.23055e-05 5.26997e-06 0.0016112 1.53704e-06 1.53704e-06 1197.1 28 1 
6.72882e-05 4.70067e-05 8.32817e-05 0.00235062 2.30446e-07 2.30446e-07 1201.98 29 1 
8.21128e-05 3.54726e-05 8.36781e-05 0.00177405 -7.05123e-07 -7.05123e-07 1199.05 30 1 
0.000137644 6.57007e-05 8.72448e-05 0.00328549 -1.18322e-06 -1.18322e-06 1195.83 31 1 
0.000136412 4.29157e-05 5.29203e-07 0.0021442 1.16908e-08 1.16908e-08 1190.33 32 1 
0.000176818 7.40824e-05 2.94573e-07 0.00370499 4.16721e-07 4.16721e-07 1195.43 33 1 
0.000181309 4.32941e-05 8.60304e-05 0.00216034 1.99474e-06 1.99474e-06 1190.2 34 1 
0.000232461 6.88965e-05 3.76131e-06 0.00344649 5.1449e-07 5.1449e-07 1170.94 35 1 
0.000250856 6.34182e-05 4.08005e-06 0.0031648 2.18411e-06 2.18411e-06 1184.05 36 1 
0.000259323 5.48459e-05 8.98316e-05 0.00274384 -6.10424e-07 -6.10424e-07 1193.76 37 1 
0.000281042 5.41315e-05 2.23723e-06 0.00271008 -9.91347e-07 -9.91347e-07 1199.47 38 1 
0.000315721 5.39603e-05 1.33108e-06 0.00270125 -1.63283e-06 -1.63283e-06 1196.86 39 1 
0.000342523 5.84543e-05 1.25166e-05 0.00291977 1.96189e-06 1.96189e-06 1183.47 40 1 
8.43515e-06 6.38856e-05 5.1409e-06 0.00319123 1.39984e-06 1.39984e-06 1202.14 41 1 
2.76647e-05 6.33231e-05 8.29357e-05 0.0031713 -2.58642e-06 -2.58642e-06 1223.75 42 1 
4.5381e-05 4.69504e-05 8.04599e-06 0.00234495 9.91956e-07 9.91956e-07 1205.65 43 1 
6.34047e-05 5.41512e-05 8.84339e-05 0.00271344 -2.24645e-06 -2.24645e-06 1194.55 44 1 
0.000108236 5.78257e-05 1.65028e-06 0.00289235 -7.46704e-07 -7.46704e-07 1200.93 45 1 
0.000187602 8.09064e-05 2.66226e-06 0.00403978 2.45423e-06 2.45423e-06 1174.68 46 1 
0.000178044 7.2887e-05 8.99394e-05 0.00364956 -4.57898e-06 -4.57898e-06 1195.15 47 1 
0.00021182 8.11879e-05 8.8464e-05 0.00405643 8.14964e-07 8.14964e-07 1154.66 48 1 
0.000253272 8.3484e-05 2.61394e-06 0.00417392 -4.16068e-07 -4.16068e-07 1188.08 49 1 
0.000267703 7.71897e-05 1.11813e-05 0.0038558 2.69748e-06 2.69748e-06 1194.41 50 1 
0.000294701 8.76111e-05 7.78835e-05 0.00437922 2.03044e-06 2.03044e-06 1198.91 51 1 
0.000331944 8.84878e-05 4.14609e-06 0.00442521 2.25812e-07 2.25812e-07 1198.78 52 1 
-5.6803e-06 8.05235e-05 8.47872e-06 0.00402674 4.35906e-07 4.35906e-07 1200.61 53 1 
1.31893e-05 8.08797e-05 8.90929e-05 0.00404138 7.81948e-07 7.81948e-07 1202.74 54 1 
3.33725e-05 8.98274e-05 8.64991e-05 0.00449133 -1.13682e-06 -1.13682e-06 1183.98 55 1 
5.91146e-05 8.65896e-05 8.72696e-05 0.00432731 1.45034e-06 1.45034e-06 1194.99 56 1 
8.39133e-05 8.34561e-05 2.63694e-06 0.00416802 1.7617e-06 1.7617e-06 1194.49 57 1 
