ITEM: TIMESTEP
1000
ITEM: NUMBER OF ATOMS
2220
ITEM: BOX BOUNDS xy xz yz pp pp pp
-0.000125834 0.0003606 -0.000125834
0 0.0009015 0
0 9.015e-05 0
ITEM: ATOMS x y z vx vy vy c_rho_peratom id type 
3.62296e-05 1.03268e-05 8.88988e-05 -0.000900435 0.000389136 0.000389136 1191.66 1 1 
0.000104484 0.000891501 8.52847e-05 0.042191 0.0005084 0.0005084 1217.31 2 1 
8.22607e-05 1.15734e-05 9.9508e-07 0.000938695 0.000995089 0.000995089 1205.21 3 1 
0.000145659 0.000897102 8.73542e-05 0.0441392 -0.00140736 -0.00140736 1249.87 4 1 
2.78391e-05 0.000900488 8.83704e-05 0.0443288 0.000668957 0.000668957 1292.66 5 1 
0.000171776 7.61799e-06 8.70019e-05 0.00015482 -0.000868389 -0.000868389 1271.91 6 1 
0.000201094 0.000895808 1.31654e-05 0.0425915 0.00145581 0.00145581 1237.06 7 1 
0.00020756 9.59815e-06 8.7774e-05 0.00318351 -0.000727243 -0.000727243 1184.99 8 1 
0.000242408 6.45798e-06 9.00383e-05 0.000964868 -0.000468177 -0.000468177 1218.14 9 1 
0.000253905 1.96634e-05 8.48151e-05 0.000161017 0.00158879 0.00158879 1224.3 10 1 
0.00027712 1.37208e-05 3.23553e-06 -0.000585184 -0.00261825 -0.00261825 1232.95 11 1 
0.0003105 3.64675e-06 5.1527e-06 0.00170052 0.000315667 0.000315667 1242.69 12 1 
-4.33135e-06 0.000899142 2.61129e-06 0.0439984 0.00164032 0.00164032 1298.14 13 1 
0.000353403 8.58772e-06 4.03255e-06 0.00029014 0.000422524 0.000422524 1227.24 14 1 
0.000126705 1.97284e-07 1.15267e-05 -0.000149174 0.000640165 0.000640165 1315.12 15 1 
3.31342e-05 3.7334e-05 8.66182e-05 0.00133956 0.00034834 0.00034834 1217.76 16 1 
6.08058e-05 3.89219e-05 6.04534e-06 0.00169576 0.000752989 0.000752989 1223.73 17 1 
8.06359e-05 3.37698e-05 1.97815e-06 0.000849944 0.000881831 0.000881831 1207.61 18 1 
0.000100798 4.25995e-05 8.37796e-05 0.00385225 -0.000726388 -0.000726388 1212.11 19 1 
0.000129457 3.97451e-05 7.07051e-06 0.000650234 0.00233102 0.00233102 1216.39 20 1 
0.000153807 3.93018e-05 8.88299e-05 0.00107144 -0.000621916 -0.000621916 1225.4 21 1 
0.000169866 3.06407e-05 2.34601e-06 0.00230367 -0.00016941 -0.00016941 1238.85 22 1 
0.000200614 3.1328e-05 2.05187e-06 0.00234479 -5.57148e-05 -5.57148e-05 1210.14 23 1 
0.000228944 3.93622e-05 1.59932e-05 0.0022521 0.00148569 0.00148569 1222.25 24 1 
0.0002487 4.23456e-05 8.9465e-05 0.00317229 0.000516847 0.000516847 1213.61 25 1 
0.000282848 3.40559e-05 5.95418e-06 0.00194236 6.05811e-05 6.05811e-05 1247.76 26 1 
0.000298078 3.78629e-05 1.53893e-05 0.00219417 0.00092296 0.00092296 1241.16 27 1 
0.000321587 3.70118e-05 8.72365e-05 0.00256454 0.00214736 0.00214736 1217.6 28 1 
0.000347085 4.33945e-05 8.16348e-06 0.00186805 0.0026539 0.0026539 1234.2 29 1 
7.18901e-06 3.48625e-05 8.89992e-05 0.00152751 0.0012726 0.0012726 1240.74 30 1 
3.75685e-05 5.98802e-05 8.81182e-05 0.000660842 0.000250673 0.000250673 1228.78 31 1 
6.01612e-05 4.84766e-05 2.88212e-06 0.00213343 0.00132754 0.00132754 1245.85 32 1 
7.82202e-05 6.26956e-05 2.48205e-06 0.00391213 -0.00144114 -0.00144114 1237.33 33 1 
0.000104664 4.98178e-05 8.97855e-05 0.00319333 0.000939729 0.000939729 1210.54 34 1 
0.000137663 6.20276e-05 8.9913e-05 0.0047701 -0.00299602 -0.00299602 1246.32 35 1 
0.000160897 5.84006e-05 1.06035e-05 0.00100554 -0.00168801 -0.00168801 1224.58 36 1 
0.000178535 5.47196e-05 1.39538e-06 0.00195754 -0.001068 -0.001068 1220.46 37 1 
0.000201376 4.932e-05 8.81401e-05 0.002187 0.00105911 0.00105911 1225.47 38 1 
0.000231165 5.43907e-05 4.56154e-06 0.00229527 -0.00152499 -0.00152499 1229.67 39 1 
0.000257356 5.74553e-05 1.02221e-05 0.00239039 0.000389671 0.000389671 1208.8 40 1 
0.000275777 5.67e-05 5.8543e-06 0.00279057 0.00113189 0.00113189 1238.36 41 1 
0.00029944 5.42465e-05 8.88799e-05 0.00452514 0.000121358 0.000121358 1246.21 42 1 
0.000330201 4.94743e-05 3.72255e-06 0.00212291 -0.000147305 -0.000147305 1215.98 43 1 
0.000347027 4.93519e-05 8.92981e-05 0.00219545 0.000604013 0.000604013 1238.82 44 1 
1.45434e-05 5.51986e-05 4.60009e-06 0.00360753 0.000919247 0.000919247 1230.87 45 1 
5.49087e-05 8.50189e-05 4.89218e-06 0.00349848 -0.000124096 -0.000124096 1233.37 46 1 
6.76495e-05 8.05588e-05 8.61973e-05 0.00379367 -0.00105276 -0.00105276 1233.17 47 1 
8.84508e-05 8.20221e-05 8.96205e-05 0.00407617 -0.000491841 -0.000491841 1206.48 48 1 
0.000125892 8.06272e-05 8.94444e-05 0.0037417 -0.000924245 -0.000924245 1223.94 49 1 
0.000144586 8.50641e-05 4.67654e-06 0.00312199 7.75331e-05 7.75331e-05 1216.14 50 1 
0.000168917 8.28772e-05 8.35798e-05 0.00433273 0.00163367 0.00163367 1208.88 51 1 
0.000205285 8.824e-05 2.18799e-06 0.00427753 5.86024e-05 5.86024e-05 1209.81 52 1 
0.000224645 8.15224e-05 7.66508e-06 0.00282228 -0.000427424 -0.000427424 1219.57 53 1 
0.000250453 8.03956e-05 3.68875e-06 0.0036479 0.00175404 0.00175404 1201.28 54 1 
0.000254506 8.99441e-05 3.92522e-06 0.00537788 0.00171229 0.00171229 1194.44 55 1 
0.000293361 8.49477e-05 8.59043e-05 0.00490083 0.000827743 0.000827743 1207.12 56 1 
0.000320686 7.57805e-05 3.6095e-06 0.00277199 -0.000390053 -0.000390053 1188.2 57 1 
0.000346106 8.50044e-05 8.5269e-05 0.0027618 0.000393076 0.000393076 1220.58 58 1 
-1.10136e-07 8.54734e-05 8.4266e-05 0.00541534 9.45063e-05 9.45063e-05 1218.45 59 1 
2.29159e-05 7.95857e-05 6.62318e-06 0.00314234 0.000378034 0.000378034 1207.34 60 1 
5.12038e-05 0.000107999 6.42343e-06 0.00724465 0.000125618 0.000125618 1238.24 61 1 
8.227e-05 9.92916e-05 8.95149e-05 0.00443205 0.00161757 0.00161757 1207.98 62 1 
0.000109878 0.000110059 1.53566e-06 0.00586073 -0.000247538 -0.000247538 1218.65 63 1 
0.000126585 0.000103757 4.33905e-06 0.0053526 -0.000783883 -0.000783883 1231.69 64 1 
0.000165634 0.00010987 9.28103e-06 0.00559644 -0.000233983 -0.000233983 1217.12 65 1 
