ITEM: TIMESTEP
2600
ITEM: NUMBER OF ATOMS
2220
ITEM: BOX BOUNDS xy xz yz pp pp pp
-0.000110809 0.0003606 -0.000110809
0 0.0009015 0
0 9.015e-05 0
ITEM: ATOMS x y z vx vy vy c_rho_peratom id type 
7.42707e-05 1.47767e-05 8.70598e-05 0.00075753 -2.83064e-05 -2.83064e-05 1249.69 1 1 
9.78138e-05 0.000892788 8.44844e-05 0.0446641 -3.58545e-05 -3.58545e-05 1160.23 2 1 
0.000122399 1.11552e-05 5.04056e-06 0.000529267 1.03711e-05 1.03711e-05 1204.76 3 1 
0.000136376 0.00088804 6.16457e-07 0.0444398 -1.29396e-05 -1.29396e-05 1230.53 4 1 
1.34052e-05 0.000890934 8.41014e-05 0.0445238 -5.10902e-06 -5.10902e-06 1215.78 5 1 
0.000210205 1.96584e-05 8.35434e-05 0.000945549 -2.64743e-05 -2.64743e-05 1214.28 6 1 
0.000192253 0.000895403 9.39538e-06 0.0447363 1.00632e-05 1.00632e-05 1204.99 7 1 
0.000242659 9.54815e-06 8.78218e-05 0.000434317 1.48396e-05 1.48396e-05 1209.56 8 1 
0.000283363 9.10096e-06 7.25891e-06 0.000556136 -2.21535e-05 -2.21535e-05 1157.61 9 1 
0.000287876 2.82739e-05 7.93589e-05 0.00140309 -1.15295e-05 -1.15295e-05 1182.61 10 1 
0.000318067 1.21494e-05 2.5717e-06 0.000620159 3.90245e-05 3.90245e-05 1214.32 11 1 
0.000355206 1.26306e-05 8.12376e-06 0.000627154 -8.47043e-06 -8.47043e-06 1169.24 12 1 
-1.38091e-05 0.000894974 3.81878e-06 0.0446681 -2.56941e-05 -2.56941e-05 1227.8 13 1 
3.54589e-05 6.62598e-06 9.19224e-06 0.000355922 -3.04299e-05 -3.04299e-05 1230.62 14 1 
-8.4242e-05 0.000897109 1.40952e-05 0.0447861 -2.72434e-05 -2.72434e-05 1248.1 15 1 
6.2668e-05 3.73337e-05 8.21611e-05 0.0019234 2.53085e-05 2.53085e-05 1214.55 16 1 
9.89053e-05 3.55064e-05 7.86101e-06 0.00184395 2.05845e-05 2.05845e-05 1226.1 17 1 
0.000117819 3.29223e-05 2.84662e-06 0.00162153 -2.21763e-05 -2.21763e-05 1195.62 18 1 
0.000143777 5.50906e-05 8.57119e-05 0.00271814 -3.87626e-05 -3.87626e-05 1230.29 19 1 
0.00016287 2.86613e-05 1.31008e-05 0.00141842 -2.0786e-05 -2.0786e-05 1166.96 20 1 
0.000185937 3.94769e-05 8.85557e-05 0.00199162 -4.66286e-05 -4.66286e-05 1209.67 21 1 
0.000206889 3.07336e-05 4.60696e-06 0.00154524 1.34611e-05 1.34611e-05 1213.97 22 1 
0.00023891 2.88982e-05 8.77576e-05 0.00142354 -3.96781e-05 -3.96781e-05 1201.09 23 1 
0.000266554 4.74209e-05 1.53932e-05 0.00232284 6.96638e-06 6.96638e-06 1208.81 24 1 
0.000285303 4.56898e-05 8.03666e-05 0.0022863 -2.56106e-05 -2.56106e-05 1223.29 25 1 
0.000316226 3.15514e-05 2.32078e-06 0.00155941 -1.43738e-06 -1.43738e-06 1208.57 26 1 
0.000332173 3.48381e-05 2.03955e-05 0.00171971 1.08983e-05 1.08983e-05 1224.99 27 1 
-1.70553e-06 3.65881e-05 8.74694e-05 0.00180396 2.55344e-05 2.55344e-05 1196.06 28 1 
3.43007e-05 4.74695e-05 2.08345e-06 0.00233907 1.32618e-05 1.32618e-05 1199.53 29 1 
4.63717e-05 3.55324e-05 8.32367e-05 0.00183967 -2.04067e-05 -2.04067e-05 1203.78 30 1 
9.21107e-05 6.57162e-05 8.39192e-05 0.00326622 1.3231e-06 1.3231e-06 1205.45 31 1 
0.000100845 4.27464e-05 4.5644e-06 0.00213205 1.96092e-06 1.96092e-06 1217.09 32 1 
0.000131046 6.92851e-05 2.6357e-06 0.00346336 -3.85947e-05 -3.85947e-05 1208.24 33 1 
0.000148276 4.85111e-05 8.87695e-05 0.00241159 -2.29943e-05 -2.29943e-05 1228.36 34 1 
0.00018695 6.08829e-05 1.26617e-06 0.00305986 -1.16249e-05 -1.16249e-05 1174.9 35 1 
0.000213475 6.15632e-05 8.63277e-06 0.00311398 -3.86154e-05 -3.86154e-05 1189.57 36 1 
0.000220048 5.88823e-05 2.90856e-06 0.00298979 3.24434e-07 3.24434e-07 1188.14 37 1 
0.000243457 5.11338e-05 2.51688e-06 0.0025272 7.1496e-05 7.1496e-05 1201.32 38 1 
0.000278204 5.33526e-05 8.57886e-05 0.00267618 3.06222e-05 3.06222e-05 1225.68 39 1 
0.000303362 5.81516e-05 1.05977e-05 0.00288366 5.62903e-05 5.62903e-05 1177.06 40 1 
0.000324576 5.93439e-05 7.58753e-06 0.00296204 1.61592e-05 1.61592e-05 1205.02 41 1 
0.00034443 6.09295e-05 8.6665e-05 0.0030667 1.95442e-05 1.95442e-05 1213.84 42 1 
1.22935e-05 4.67124e-05 2.05364e-06 0.00231403 -6.25281e-05 -6.25281e-05 1197.54 43 1 
2.78536e-05 5.212e-05 1.65424e-06 0.00264623 -3.49679e-05 -3.49679e-05 1199.72 44 1 
6.79247e-05 5.75098e-05 2.81035e-06 0.00292115 4.47786e-06 4.47786e-06 1208.29 45 1 
0.000127977 8.55352e-05 5.18958e-06 0.00428222 -9.17265e-06 -9.17265e-06 1188.75 46 1 
0.000128378 7.27186e-05 8.68331e-05 0.00363884 -3.07116e-06 -3.07116e-06 1204.33 47 1 
0.000154372 7.91873e-05 8.67859e-05 0.00398612 -4.67864e-05 -4.67864e-05 1183.87 48 1 
0.000198877 8.75796e-05 2.40882e-06 0.00433886 -4.50444e-06 -4.50444e-06 1207.73 49 1 
0.000213259 8.42009e-05 6.82103e-06 0.00417931 -4.36231e-05 -4.36231e-05 1209.19 50 1 
0.000241576 8.31867e-05 8.22098e-05 0.0041418 -1.57057e-05 -1.57057e-05 1186.11 51 1 
0.000275601 9.04425e-05 1.76476e-06 0.00454263 -2.77347e-05 -2.77347e-05 1200.97 52 1 
0.0002946 8.51964e-05 7.53959e-06 0.00424233 3.69242e-05 3.69242e-05 1184.47 53 1 
0.000317972 8.05582e-05 4.52182e-06 0.00398413 -7.63741e-06 -7.63741e-06 1193.31 54 1 
0.000328637 8.87565e-05 9.00497e-05 0.00446345 1.43207e-05 1.43207e-05 1195.02 55 1 
2.05021e-06 8.58949e-05 8.37571e-05 0.00433701 1.56625e-06 1.56625e-06 1224.21 56 1 
2.58279e-05 7.79183e-05 6.41799e-06 0.00387858 -7.57232e-06 -7.57232e-06 1184.97 57 1 
6.04369e-05 9.37058e-05 8.36639e-05 0.00468578 -2.2405e-05 -2.2405e-05 1213.43 58 1 
7.10417e-05 8.95953e-05 1.99804e-06 0.00445769 7.47665e-05 7.47665e-05 1224.18 59 1 
8.6802e-05 7.95844e-05 6.98954e-06 0.00394871 5.22619e-05 5.22619e-05 1213.31 60 1 
0.000135282 0.000109306 1.07855e-05 0.0054204 -2.20035e-06 -2.20035e-06 1192.51 61 1 
0.000165837 0.000105939 4.56913e-06 0.00525582 4.11653e-05 4.11653e-05 1164.63 62 1 
0.000200048 0.000108754 8.63784e-05 0.00539028 4.18997e-05 4.18997e-05 1221.36 63 1 
0.000218663 0.000100246 3.2781e-06 0.00503393 -6.14569e-05 -6.14569e-05 1205.74 64 1 
0.000255061 0.000109537 7.51286e-06 0.00549114 -1.24589e-05 -1.24589e-05 1200.97 65 1 
0.000274843 0.000113848 3.52647e-06 0.00569919 2.30465e-05 2.30465e-05 1223.28 66 1 
0.000283637 9.76305e-05 8.88385e-05 0.00491865 3.03813e-05 3.03813e-05 1207.75 67 1 
0.000327306 0.000108083 8.97937e-05 0.00537802 4.77721e-06 4.77721e-06 1174.48 68 1 
0.000323561 0.000110965 9.00736e-05 0.00554001 3.60692e-05 3.60692e-05 1168.82 69 1 
4.22909e-07 0.00010035 8.7555e-05 0.00501147 -4.00151e-05 -4.00151e-05 1226.95 70 1 
