ITEM: TIMESTEP
3500
ITEM: NUMBER OF ATOMS
2220
ITEM: BOX BOUNDS xy xz yz pp pp pp
0 0.00046108 0.00010048
0 0.0009015 0
0 9.015e-05 0
ITEM: ATOMS x y z vx vy vy c_rho_peratom id type 
9.32492e-05 1.24201e-05 8.82617e-05 0.000614066 1.11558e-06 1.11558e-06 1206.34 1 1 
0.000139375 0.000892901 7.81872e-05 0.0446402 9.82777e-08 9.82777e-08 1225.29 2 1 
0.000142153 1.11347e-05 7.70981e-06 0.000560198 -3.08684e-06 -3.08684e-06 1197.44 3 1 
0.000179782 0.00088706 1.43177e-06 0.0443475 5.03894e-06 5.03894e-06 1226.02 4 1 
0.000416983 0.000887787 8.84134e-05 0.0443872 -2.2049e-06 -2.2049e-06 1221.22 5 1 
0.000227385 1.83808e-05 8.50073e-05 0.000926361 -1.86148e-06 -1.86148e-06 1172.29 6 1 
0.000231239 0.000894658 7.80711e-06 0.0447351 1.28989e-06 1.28989e-06 1196.15 7 1 
0.000264624 9.0409e-06 8.25878e-05 0.000452998 -4.79746e-07 -4.79746e-07 1253 8 1 
0.000309069 1.11372e-05 8.88291e-05 0.000565674 4.05824e-07 4.05824e-07 1203.68 9 1 
0.000307724 2.85416e-05 8.2474e-05 0.00142364 2.82493e-06 2.82493e-06 1184.51 10 1 
0.000340972 1.55302e-05 3.57954e-06 0.000771615 4.71282e-08 4.71282e-08 1210.46 11 1 
1.98048e-05 1.57593e-05 6.77278e-06 0.000789375 -1.49219e-06 -1.49219e-06 1145.42 12 1 
0.00038674 0.000892809 3.27184e-06 0.0446407 -1.98776e-06 -1.98776e-06 1223.02 13 1 
5.41596e-05 8.32312e-06 7.86263e-06 0.000421412 -3.89702e-06 -3.89702e-06 1210.78 14 1 
0.000312599 0.000896865 1.86358e-05 0.0448328 9.73185e-06 9.73185e-06 1153.43 15 1 
8.63492e-05 4.26773e-05 8.46646e-05 0.00213642 1.19751e-06 1.19751e-06 1197.42 16 1 
0.000124438 3.61547e-05 1.17569e-05 0.00180575 4.46668e-06 4.46668e-06 1207.38 17 1 
0.000138064 3.25469e-05 4.31051e-06 0.0016212 5.74543e-06 5.74543e-06 1185.89 18 1 
0.000166914 5.67742e-05 8.61026e-05 0.00283927 1.35709e-06 1.35709e-06 1202.49 19 1 
0.000179318 2.81824e-05 1.8574e-05 0.00141456 3.1638e-06 3.1638e-06 1166.33 20 1 
0.000204624 3.77444e-05 1.90396e-06 0.00187572 7.16404e-06 7.16404e-06 1182.53 21 1 
0.000223509 2.96662e-05 5.89769e-06 0.00148331 -1.87189e-06 -1.87189e-06 1190.06 22 1 
0.000259733 3.07351e-05 8.43321e-05 0.00153731 2.69864e-06 2.69864e-06 1224.1 23 1 
0.000291638 4.97911e-05 1.49513e-05 0.00248565 3.7241e-06 3.7241e-06 1198.88 24 1 
0.00030766 4.78766e-05 7.95237e-05 0.00238549 2.58958e-06 2.58958e-06 1217.21 25 1 
0.000334736 3.31364e-05 3.11631e-06 0.00165011 1.38454e-06 1.38454e-06 1222.19 26 1 
0.000352033 3.38644e-05 1.6135e-05 0.00168578 4.83419e-06 4.83419e-06 1222.6 27 1 
1.6622e-05 3.29141e-05 2.8114e-06 0.00164618 1.89326e-07 1.89326e-07 1197.2 28 1 
5.62509e-05 4.77854e-05 8.77061e-05 0.00238568 3.42999e-06 3.42999e-06 1212.29 29 1 
6.91193e-05 3.74198e-05 8.44851e-05 0.00187345 -3.38679e-06 -3.38679e-06 1198.23 30 1 
0.000122993 6.46985e-05 8.54262e-05 0.0032198 5.30031e-06 5.30031e-06 1198.67 31 1 
0.000126252 4.1591e-05 6.96973e-07 0.00207804 1.37371e-06 1.37371e-06 1189.69 32 1 
0.000162661 7.45479e-05 1.14821e-06 0.00372311 -2.83175e-06 -2.83175e-06 1188 33 1 
0.000169665 4.45194e-05 8.64984e-05 0.00221744 4.18611e-06 4.18611e-06 1196.58 34 1 
0.000214068 6.77527e-05 4.17868e-06 0.0033837 6.73219e-06 6.73219e-06 1174.57 35 1 
0.000240769 6.38062e-05 4.44581e-06 0.00319345 -1.16831e-06 -1.16831e-06 1191.86 36 1 
0.000246566 5.65436e-05 1.54617e-06 0.00282898 -1.66716e-06 -1.66716e-06 1193.98 37 1 
0.000263969 5.58143e-05 5.32869e-07 0.00279648 -1.84039e-06 -1.84039e-06 1205.86 38 1 
0.000303663 5.28849e-05 8.95575e-05 0.00263346 7.79516e-06 7.79516e-06 1213.28 39 1 
0.000332181 5.93623e-05 7.60765e-06 0.0029609 -6.18642e-07 -6.18642e-07 1203.67 40 1 
0.000356186 6.08952e-05 4.63211e-06 0.00305765 -8.57044e-06 -8.57044e-06 1219.69 41 1 
1.46077e-05 6.03828e-05 8.36369e-05 0.00302159 -5.53471e-07 -5.53471e-07 1210.16 42 1 
3.86387e-05 4.73139e-05 7.77565e-06 0.002362 -1.74104e-06 -1.74104e-06 1205.48 43 1 
5.14641e-05 5.41381e-05 8.89511e-05 0.00270435 3.52759e-07 3.52759e-07 1214.09 44 1 
9.67245e-05 5.92927e-05 7.08777e-07 0.0029661 -4.27433e-06 -4.27433e-06 1193.43 45 1 
0.00017129 8.11382e-05 2.99563e-06 0.00405066 1.20112e-06 1.20112e-06 1184.13 46 1 
0.000163748 7.20982e-05 8.84688e-05 0.00361327 -1.04999e-06 -1.04999e-06 1192.53 47 1 
0.000197969 8.12066e-05 8.84909e-05 0.00406551 -2.85996e-06 -2.85996e-06 1191.12 48 1 
