ITEM: TIMESTEP
700
ITEM: NUMBER OF ATOMS
2220
ITEM: BOX BOUNDS xy xz yz pp pp pp
0 0.000524936 0.000164336
0 0.0009015 0
0 9.015e-05 0
ITEM: ATOMS x y z vx vy vy c_rho_peratom id type 
2.88064e-05 1.10794e-05 6.10096e-09 0.0045444 0.0073162 0.0073162 1206.28 1 1 
0.000331589 0.000893772 8.34521e-05 0.0435018 -0.0015064 -0.0015064 1182.57 2 1 
7.61966e-05 1.27179e-05 2.36267e-06 -0.000699305 -0.00259692 -0.00259692 1261.85 3 1 
0.000375581 0.000900411 8.59276e-05 0.0402334 0.00161702 0.00161702 1243.97 4 1 
0.000134253 1.90132e-06 8.81382e-05 -0.000838037 0.00203882 0.00203882 1284.82 5 1 
0.000160074 1.20811e-05 8.64091e-05 0.00481946 0.0018822 0.0018822 1209.19 6 1 
0.000429454 0.000895111 1.1302e-05 0.0434614 0.00151982 0.00151982 1214.62 7 1 
0.000199501 6.8283e-06 8.9041e-05 0.0026921 0.000541456 0.000541456 1216.59 8 1 
0.000234717 6.20536e-06 8.87065e-05 0.00133465 0.00319635 0.00319635 1232.32 9 1 
0.000246088 1.8792e-05 8.48471e-05 0.00348549 0.00111863 0.00111863 1209.03 10 1 
0.000269782 1.33981e-05 8.90509e-05 0.00182755 0.00219293 0.00219293 1230.38 11 1 
0.000303646 1.68387e-06 6.44252e-06 -0.00114546 0.000165004 0.000165004 1268.77 12 1 
0.000224774 0.000899639 2.87126e-06 0.0374643 0.000844416 0.000844416 1277.22 13 1 
0.00034832 8.03468e-06 5.35424e-06 0.000527204 0.000480383 0.000480383 1279.5 14 1 
0.000234296 0.000900828 1.06757e-05 0.0438733 -0.00370602 -0.00370602 1276.74 15 1 
2.76181e-05 3.76276e-05 8.72606e-05 0.00685781 -0.0029143 -0.0029143 1216.34 16 1 
5.15159e-05 3.97634e-05 6.11403e-06 0.00193773 -0.00297764 -0.00297764 1223.32 17 1 
7.59427e-05 3.25675e-05 7.17903e-07 0.00315818 -0.00383248 -0.00383248 1230.75 18 1 
9.52524e-05 3.8204e-05 8.37382e-05 0.00113884 -0.00316374 -0.00316374 1233.99 19 1 
0.000120695 4.00331e-05 4.59756e-06 0.00331323 -0.00225286 -0.00225286 1251.31 20 1 
0.000147936 3.77556e-05 9.38511e-07 0.00239619 0.000150354 0.000150354 1217.97 21 1 
0.000164867 3.18166e-05 9.99267e-07 0.00635147 -0.00151748 -0.00151748 1205.57 22 1 
0.000190896 3.20251e-05 1.91559e-06 0.000182246 -0.00341686 -0.00341686 1212.97 23 1 
0.000218964 3.91306e-05 1.38915e-05 0.000137809 0.00363054 0.00363054 1238.69 24 1 
0.000240916 3.90553e-05 4.92941e-07 1.73895e-05 5.78375e-05 5.78375e-05 1207.21 25 1 
0.000275835 3.5211e-05 5.39361e-06 0.00318466 0.00171597 0.00171597 1231.93 26 1 
0.000289977 3.97767e-05 1.23277e-05 0.00306915 -0.00138398 -0.00138398 1234.64 27 1 
0.000315173 3.94579e-05 8.78625e-05 0.00291963 -0.00198625 -0.00198625 1218.41 28 1 
0.000339021 4.20993e-05 9.76821e-06 -0.00139772 -0.00254737 -0.00254737 1241.16 29 1 
0.000360519 3.52019e-05 2.48885e-06 0.00257342 -0.00309029 -0.00309029 1248.04 30 1 
2.93867e-05 6.21809e-05 8.89614e-05 0.00185807 0.00374891 0.00374891 1231.99 31 1 
5.08389e-05 4.91295e-05 1.44352e-06 0.00500115 -0.00311694 -0.00311694 1235.49 32 1 
6.92394e-05 5.99142e-05 1.72282e-06 -0.000805521 -0.000696713 -0.000696713 1245.02 33 1 
9.93667e-05 5.04608e-05 1.21698e-06 0.0080812 0.00305419 0.00305419 1257.15 34 1 
0.000127677 6.24732e-05 1.81337e-06 0.00279168 0.00181777 0.00181777 1254.75 35 1 
0.000150225 5.84933e-05 8.76191e-06 0.00147197 0.00172733 0.00172733 1223.51 36 1 
0.00017004 5.83359e-05 1.76615e-06 0.0037163 0.000488122 0.000488122 1233.29 37 1 
0.000194531 4.87336e-05 8.66704e-05 0.00318119 0.00197929 0.00197929 1232.72 38 1 
0.000219914 5.59641e-05 3.60147e-06 0.00274817 -0.00124567 -0.00124567 1233.4 39 1 
0.000250902 5.86914e-05 1.19327e-05 0.00725514 0.00509922 0.00509922 1204.6 40 1 
0.000267671 5.31704e-05 6.53635e-06 0.0018354 -0.000346014 -0.000346014 1224.42 41 1 
0.000294349 5.17463e-05 8.78313e-05 0.00579832 -6.58458e-05 -6.58458e-05 1245.35 42 1 
0.000319988 4.87465e-05 8.96278e-05 0.00455754 -0.00126781 -0.00126781 1224.01 43 1 
0.000339353 4.92915e-05 8.91365e-05 0.00310125 0.00296519 0.00296519 1242.15 44 1 
0.00036668 5.56718e-05 4.12677e-06 0.00484412 0.00362954 0.00362954 1244.42 45 1 
4.0912e-05 8.40205e-05 3.97048e-06 0.00128375 0.00134722 0.00134722 1212.94 46 1 
5.77332e-05 7.9608e-05 8.36678e-05 0.00585705 0.00061097 0.00061097 1230.24 47 1 
7.56458e-05 7.75862e-05 7.49056e-07 0.00314227 0.00177798 0.00177798 1215.34 48 1 
0.000111891 7.81872e-05 8.45978e-05 0.00484818 -0.0041919 -0.0041919 1227.65 49 1 
0.000132079 8.34906e-05 5.88648e-06 0.00410569 -0.00257021 -0.00257021 1222.67 50 1 
0.00015557 8.17876e-05 8.00857e-05 0.00441519 0.00510514 0.00510514 1228.8 51 1 
0.000187698 8.86282e-05 1.08027e-06 0.00449232 0.00514747 0.00514747 1223.56 52 1 
0.000211088 8.20385e-05 8.31725e-06 0.0067222 -0.000987132 -0.000987132 1221.49 53 1 
0.000240891 8.21539e-05 4.02807e-06 0.00435303 -2.40382e-05 -2.40382e-05 1204.21 54 1 
0.000242774 8.50496e-05 2.74249e-06 0.00230211 -0.00123107 -0.00123107 1205.01 55 1 
