ITEM: TIMESTEP
3400
ITEM: NUMBER OF ATOMS
2220
ITEM: BOX BOUNDS xy xz yz pp pp pp
0 0.000437603 7.70031e-05
0 0.0009015 0
0 9.015e-05 0
ITEM: ATOMS x y z vx vy vy c_rho_peratom id type 
9.285e-05 1.2557e-05 1.11448e-06 0.000619613 -1.73617e-06 -1.73617e-06 1212.82 1 1 
9.47241e-05 0.000892669 7.72225e-05 0.0446338 -7.14823e-06 -7.14823e-06 1213.71 2 1 
0.000140761 1.13833e-05 8.94311e-06 0.000566394 2.24053e-06 2.24053e-06 1176.55 3 1 
0.000132938 0.000886965 4.87829e-09 0.044345 1.31552e-06 1.31552e-06 1253.84 4 1 
0.00037319 0.000887761 8.92174e-05 0.044395 -1.12302e-05 -1.12302e-05 1238.64 5 1 
0.000226063 2.01888e-05 8.29485e-05 0.00102306 -7.31475e-06 -7.31475e-06 1195.45 6 1 
0.000187539 0.000895563 7.76219e-06 0.044767 -2.47823e-06 -2.47823e-06 1232.51 7 1 
0.000261914 9.20605e-06 8.10593e-05 0.00046222 3.90215e-06 3.90215e-06 1260.53 8 1 
0.000305187 1.02516e-05 6.86776e-07 0.000517719 4.74268e-06 4.74268e-06 1228.66 9 1 
0.000306082 2.83381e-05 8.1342e-05 0.00140303 -2.35809e-06 -2.35809e-06 1201.42 10 1 
0.000338676 1.56891e-05 4.12121e-06 0.00078186 2.2872e-06 2.2872e-06 1187.4 11 1 
1.85987e-05 1.49934e-05 6.4758e-06 0.000750628 4.9079e-06 4.9079e-06 1152.51 12 1 
0.000342091 0.000893343 4.04651e-06 0.0446687 -4.60329e-06 -4.60329e-06 1240.34 13 1 
5.30419e-05 7.21963e-06 7.29407e-06 0.000361492 -1.19147e-06 -1.19147e-06 1232.48 14 1 
0.000270245 0.000897747 1.72718e-05 0.0448804 -1.00206e-05 -1.00206e-05 1145.39 15 1 
8.37821e-05 4.11688e-05 8.41729e-05 0.00205726 -6.70999e-06 -6.70999e-06 1177.97 16 1 
0.000121171 3.76875e-05 1.09643e-05 0.00187673 4.24762e-06 4.24762e-06 1205.97 17 1 
0.000134184 3.24985e-05 4.57587e-06 0.00162955 1.43047e-06 1.43047e-06 1172.03 18 1 
0.000164031 5.69649e-05 8.65365e-05 0.00284443 4.2958e-06 4.2958e-06 1198.86 19 1 
0.000177395 2.89215e-05 1.72369e-05 0.00143851 2.58848e-06 2.58848e-06 1181.36 20 1 
0.000203405 3.86231e-05 1.40627e-06 0.00192865 -4.93995e-06 -4.93995e-06 1183.26 21 1 
0.00022156 2.93724e-05 7.05683e-06 0.001478 -3.51625e-06 -3.51625e-06 1187.06 22 1 
0.000257578 3.13219e-05 8.53938e-05 0.00156513 4.94744e-06 4.94744e-06 1212.28 23 1 
0.000289958 4.91274e-05 1.47598e-05 0.00245045 7.99903e-06 7.99903e-06 1216.26 24 1 
0.000307057 4.68622e-05 7.89725e-05 0.00234804 -9.66109e-07 -9.66109e-07 1228.1 25 1 
0.000331262 3.30786e-05 4.24633e-06 0.00166075 -5.91511e-06 -5.91511e-06 1218.99 26 1 
0.00034869 3.3733e-05 1.6013e-05 0.00169598 -3.86169e-07 -3.86169e-07 1210.52 27 1 
1.31095e-05 3.39362e-05 3.18826e-06 0.00170044 -4.81464e-06 -4.81464e-06 1200.02 28 1 
5.37614e-05 4.73727e-05 8.73911e-05 0.0023713 -1.89558e-06 -1.89558e-06 1206.99 29 1 
6.68782e-05 3.78036e-05 8.45793e-05 0.00189906 -7.9631e-06 -7.9631e-06 1187.44 30 1 
0.000120144 6.52443e-05 8.29191e-05 0.00326228 -8.71037e-06 -8.71037e-06 1206.79 31 1 
0.000124423 4.11245e-05 1.089e-06 0.00205824 6.38654e-07 6.38654e-07 1189.13 32 1 
0.000159792 7.36214e-05 2.87649e-06 0.00367948 1.17563e-06 1.17563e-06 1194.39 33 1 
0.000167946 4.66682e-05 8.68272e-05 0.00233943 -7.31995e-07 -7.31995e-07 1192.26 34 1 
0.000211489 6.61892e-05 4.22749e-06 0.00330675 7.14728e-06 7.14728e-06 1172.67 35 1 
0.000238439 6.3215e-05 5.37183e-06 0.00316057 -5.1318e-06 -5.1318e-06 1175.71 36 1 
0.000241045 5.7901e-05 1.4089e-06 0.00289456 1.06238e-06 1.06238e-06 1177.35 37 1 
0.000262262 5.48487e-05 8.99344e-05 0.00273384 -5.26116e-06 -5.26116e-06 1190.86 38 1 
0.000301431 5.16052e-05 9.01498e-05 0.00258289 -2.31374e-07 -2.31374e-07 1224.81 39 1 
